age,wage,educ
45,44200,bachelor's degree
33,36500,bachelor's degree
49,20000,some college but no degree
30,0,high school diploma or equivalent
24,800,high school diploma or equivalent
47,21741,high school diploma or equivalent
46,28000,"associate's degree, occupational/vocational program"
22,7000,bachelor's degree
36,40000,"associate's degree, occupational/vocational program"
33,11000,high school diploma or equivalent
28,22256,high school diploma or equivalent
43,28500,some college but no degree
42,10923,bachelor's degree
22,33000,high school diploma or equivalent
40,0,grades 7 or 8
40,4279,grade 10
35,42000,some college but no degree
26,37023,some college but no degree
49,22000,grade 11
45,0,high school diploma or equivalent
50,35000,high school diploma or equivalent
36,26385,high school diploma or equivalent
48,13000,high school diploma or equivalent
24,15000,high school diploma or equivalent
48,0,high school diploma or equivalent
29,15000,grade 9
27,22000,high school diploma or equivalent
37,52000,"associate's degree, occupational/vocational program"
50,1300,high school diploma or equivalent
36,500,high school diploma or equivalent
32,27000,high school diploma or equivalent
42,53000,"associate's degree, occupational/vocational program"
32,105000,bachelor's degree
27,45000,some college but no degree
45,29350,high school diploma or equivalent
47,35000,bachelor's degree
32,38000,grade 11
47,16000,some college but no degree
35,29795,"associate's degree, occupational/vocational program"
46,21000,high school diploma or equivalent
33,35000,high school diploma or equivalent
27,42600,bachelor's degree
38,0,some college but no degree
34,28000,bachelor's degree
20,16000,some college but no degree
26,27000,high school diploma or equivalent
38,22000,high school diploma or equivalent
50,105000,bachelor's degree
28,72000,bachelor's degree
29,32500,high school diploma or equivalent
46,229339,master's degree
36,13000,high school diploma or equivalent
41,400,"associate's degree, academic program"
23,33001,"associate's degree, occupational/vocational program"
50,48000,high school diploma or equivalent
21,0,some college but no degree
44,0,"associate's degree, occupational/vocational program"
38,25000,high school diploma or equivalent
47,0,grades 7 or 8
20,5180,grade 11
31,17000,high school diploma or equivalent
23,12000,"associate's degree, occupational/vocational program"
32,26000,grades 7 or 8
43,5632,high school diploma or equivalent
29,500,high school diploma or equivalent
41,40000,high school diploma or equivalent
35,10923,bachelor's degree
45,22000,master's degree
29,42500,bachelor's degree
35,32500,high school diploma or equivalent
45,0,high school diploma or equivalent
38,70000,bachelor's degree
50,45000,some college but no degree
41,0,"associate's degree, occupational/vocational program"
43,27000,high school diploma or equivalent
41,0,"associate's degree, occupational/vocational program"
35,30000,master's degree
29,29117,"associate's degree, occupational/vocational program"
46,19064,"associate's degree, academic program"
22,12000,some college but no degree
47,25000,"associate's degree, occupational/vocational program"
31,20000,grade 9
38,26000,"associate's degree, occupational/vocational program"
34,110037,master's degree
22,20000,high school diploma or equivalent
23,35000,"associate's degree, occupational/vocational program"
26,5000,high school diploma or equivalent
45,34000,master's degree
45,24000,some college but no degree
38,9084,some college but no degree
24,8570,"12th grade, no diploma"
44,30450,some college but no degree
31,31000,high school diploma or equivalent
30,28000,high school diploma or equivalent
39,37800,bachelor's degree
27,21000,bachelor's degree
46,0,high school diploma or equivalent
30,46000,bachelor's degree
27,0,bachelor's degree
25,6000,bachelor's degree
49,43950,some college but no degree
48,19500,high school diploma or equivalent
48,26000,high school diploma or equivalent
46,52000,"associate's degree, academic program"
30,0,grades 7 or 8
33,27109,"associate's degree, occupational/vocational program"
35,65000,high school diploma or equivalent
38,0,high school diploma or equivalent
43,19000,"associate's degree, academic program"
32,32000,some college but no degree
47,41000,high school diploma or equivalent
40,0,high school diploma or equivalent
45,229339,master's degree
39,30000,some college but no degree
45,0,high school diploma or equivalent
49,0,high school diploma or equivalent
42,40907,high school diploma or equivalent
23,40000,"associate's degree, occupational/vocational program"
38,32000,high school diploma or equivalent
37,26000,"associate's degree, academic program"
47,0,high school diploma or equivalent
39,49000,high school diploma or equivalent
29,8000,bachelor's degree
37,34500,some college but no degree
45,22000,high school diploma or equivalent
34,35000,high school diploma or equivalent
35,0,high school diploma or equivalent
40,61400,some college but no degree
26,12700,some college but no degree
35,80000,master's degree
39,10000,grade 9
40,32200,bachelor's degree
36,16000,high school diploma or equivalent
34,0,professional school degree
32,30000,high school diploma or equivalent
48,0,bachelor's degree
21,3500,some college but no degree
45,95000,high school diploma or equivalent
41,90000,bachelor's degree
38,16500,bachelor's degree
39,0,high school diploma or equivalent
41,4600,"associate's degree, academic program"
43,45000,high school diploma or equivalent
46,30000,bachelor's degree
46,138583,bachelor's degree
48,13000,bachelor's degree
22,19000,high school diploma or equivalent
42,41000,high school diploma or equivalent
50,78000,bachelor's degree
29,55000,bachelor's degree
22,24000,some college but no degree
21,4800,some college but no degree
21,15000,some college but no degree
21,15600,some college but no degree
48,0,bachelor's degree
31,67000,"associate's degree, occupational/vocational program"
31,0,"associate's degree, occupational/vocational program"
46,42000,high school diploma or equivalent
22,12000,grade 10
39,55000,bachelor's degree
47,75000,"associate's degree, academic program"
45,78000,bachelor's degree
44,0,some college but no degree
43,65000,bachelor's degree
37,0,high school diploma or equivalent
30,47000,some college but no degree
30,101000,bachelor's degree
35,4131,some college but no degree
35,25000,bachelor's degree
39,39000,high school diploma or equivalent
42,60000,high school diploma or equivalent
43,0,"associate's degree, occupational/vocational program"
28,29000,grade 11
33,28199,high school diploma or equivalent
31,65000,bachelor's degree
43,32000,high school diploma or equivalent
31,0,grade 10
43,7793,high school diploma or equivalent
46,0,high school diploma or equivalent
43,50000,high school diploma or equivalent
35,68000,grade 11
39,56110,master's degree
41,27549,high school diploma or equivalent
29,13390,high school diploma or equivalent
35,2000,grade 10
39,2160,high school diploma or equivalent
40,0,high school diploma or equivalent
36,69000,bachelor's degree
26,23000,bachelor's degree
36,71000,"associate's degree, academic program"
30,31865,high school diploma or equivalent
34,36100,high school diploma or equivalent
41,75000,"associate's degree, occupational/vocational program"
37,60000,"associate's degree, occupational/vocational program"
38,63000,bachelor's degree
37,132000,master's degree
50,0,"12th grade, no diploma"
38,28000,some college but no degree
38,35000,high school diploma or equivalent
28,37740,bachelor's degree
50,13000,high school diploma or equivalent
48,27000,high school diploma or equivalent
20,15000,high school diploma or equivalent
25,18000,some college but no degree
25,36500,"associate's degree, occupational/vocational program"
37,108000,master's degree
42,95037,master's degree
46,33000,high school diploma or equivalent
31,20000,some college but no degree
50,40000,bachelor's degree
36,24000,high school diploma or equivalent
24,11350,high school diploma or equivalent
33,26000,high school diploma or equivalent
44,52000,high school diploma or equivalent
43,110000,master's degree
39,60000,"associate's degree, occupational/vocational program"
43,65000,some college but no degree
45,0,some college but no degree
24,28000,some college but no degree
46,25000,bachelor's degree
46,24300,bachelor's degree
34,32000,"associate's degree, occupational/vocational program"
50,13200,some college but no degree
50,82000,bachelor's degree
34,0,high school diploma or equivalent
30,0,bachelor's degree
35,0,grades 5 or 6
25,17005,high school diploma or equivalent
30,6000,some college but no degree
21,20000,high school diploma or equivalent
44,57000,some college but no degree
47,7000,some college but no degree
35,0,"associate's degree, occupational/vocational program"
40,110000,master's degree
36,0,"associate's degree, academic program"
36,80000,master's degree
44,20887,high school diploma or equivalent
30,31000,bachelor's degree
32,22000,"associate's degree, occupational/vocational program"
44,24960,high school diploma or equivalent
40,0,grades 7 or 8
33,26000,high school diploma or equivalent
48,14000,bachelor's degree
43,70000,bachelor's degree
33,50000,high school diploma or equivalent
44,0,high school diploma or equivalent
29,36000,some college but no degree
38,38400,some college but no degree
40,75000,bachelor's degree
28,29000,high school diploma or equivalent
40,40000,high school diploma or equivalent
31,26000,high school diploma or equivalent
22,0,some college but no degree
47,50000,high school diploma or equivalent
27,17000,bachelor's degree
31,42000,some college but no degree
23,13000,grade 10
39,37000,some college but no degree
37,56000,some college but no degree
46,0,high school diploma or equivalent
50,14300,some college but no degree
44,55000,"associate's degree, occupational/vocational program"
43,75400,some college but no degree
42,75000,"associate's degree, occupational/vocational program"
35,25000,high school diploma or equivalent
27,21000,high school diploma or equivalent
31,47000,high school diploma or equivalent
43,90037,bachelor's degree
32,71000,bachelor's degree
33,100037,some college but no degree
27,20000,some college but no degree
27,20800,some college but no degree
23,5000,high school diploma or equivalent
29,0,bachelor's degree
43,80000,bachelor's degree
48,30000,bachelor's degree
47,25000,high school diploma or equivalent
47,44792,some college but no degree
24,19000,high school diploma or equivalent
21,10000,high school diploma or equivalent
29,23000,some college but no degree
41,60000,master's degree
47,54340,some college but no degree
20,3900,high school diploma or equivalent
37,90000,bachelor's degree
34,40000,high school diploma or equivalent
40,60000,high school diploma or equivalent
21,37000,some college but no degree
37,0,high school diploma or equivalent
45,80037,master's degree
38,0,high school diploma or equivalent
43,24000,some college but no degree
39,229339,bachelor's degree
33,50000,bachelor's degree
39,50000,"associate's degree, occupational/vocational program"
37,51120,bachelor's degree
44,29900,"associate's degree, occupational/vocational program"
30,45000,"associate's degree, academic program"
23,22000,some college but no degree
36,62000,high school diploma or equivalent
39,71000,bachelor's degree
40,48000,high school diploma or equivalent
44,60000,high school diploma or equivalent
31,6000,some college but no degree
36,60000,high school diploma or equivalent
27,23000,some college but no degree
35,60000,some college but no degree
45,0,some college but no degree
38,12000,grade 9
26,31000,some college but no degree
41,51000,master's degree
50,32000,bachelor's degree
47,52200,master's degree
47,16680,bachelor's degree
37,31200,some college but no degree
33,0,high school diploma or equivalent
43,28000,high school diploma or equivalent
33,37000,"associate's degree, academic program"
23,3200,some college but no degree
46,14000,some college but no degree
46,10000,some college but no degree
44,23000,bachelor's degree
32,28000,high school diploma or equivalent
43,32000,grade 10
50,26000,bachelor's degree
40,60000,high school diploma or equivalent
44,27520,high school diploma or equivalent
43,21129,high school diploma or equivalent
21,10844,some college but no degree
43,0,some college but no degree
35,5400,bachelor's degree
31,25000,some college but no degree
33,20000,high school diploma or equivalent
50,0,some college but no degree
25,7000,grade 11
20,3000,some college but no degree
24,16000,high school diploma or equivalent
31,35000,"associate's degree, occupational/vocational program"
44,35000,high school diploma or equivalent
43,27000,high school diploma or equivalent
32,38000,bachelor's degree
35,48500,"associate's degree, academic program"
35,55000,bachelor's degree
47,100000,master's degree
41,0,master's degree
47,16275,high school diploma or equivalent
36,0,grade 10
40,125000,master's degree
32,500,high school diploma or equivalent
41,229339,professional school degree
34,24000,bachelor's degree
20,24600,high school diploma or equivalent
32,14400,grade 10
38,46996,high school diploma or equivalent
43,14880,grade 11
36,17000,grade 11
43,35000,high school diploma or equivalent
31,43000,professional school degree
49,0,high school diploma or equivalent
25,39193,high school diploma or equivalent
22,12480,high school diploma or equivalent
37,58000,high school diploma or equivalent
32,34000,some college but no degree
32,38800,professional school degree
40,0,grade 10
44,0,doctorate degree
32,28000,high school diploma or equivalent
33,65000,bachelor's degree
46,80000,master's degree
23,26000,high school diploma or equivalent
33,0,high school diploma or equivalent
42,48000,bachelor's degree
49,18500,grades 7 or 8
44,6000,bachelor's degree
21,13000,some college but no degree
48,25376,some college but no degree
45,0,some college but no degree
50,82000,some college but no degree
39,43000,bachelor's degree
31,34000,high school diploma or equivalent
44,0,high school diploma or equivalent
49,50000,bachelor's degree
31,28711,high school diploma or equivalent
32,20400,bachelor's degree
30,3000,high school diploma or equivalent
28,12000,high school diploma or equivalent
45,35000,"associate's degree, occupational/vocational program"
35,46800,bachelor's degree
26,17000,high school diploma or equivalent
20,10000,grade 11
38,31200,high school diploma or equivalent
22,3000,some college but no degree
21,10000,some college but no degree
29,28400,"associate's degree, occupational/vocational program"
37,29000,some college but no degree
35,0,high school diploma or equivalent
24,16000,high school diploma or equivalent
35,13208,high school diploma or equivalent
30,20000,high school diploma or equivalent
35,500,bachelor's degree
35,71037,high school diploma or equivalent
46,29000,some college but no degree
22,24000,high school diploma or equivalent
32,24000,high school diploma or equivalent
47,31830,high school diploma or equivalent
31,38000,some college but no degree
50,20000,high school diploma or equivalent
50,82028,some college but no degree
37,30000,high school diploma or equivalent
34,31200,high school diploma or equivalent
33,36000,high school diploma or equivalent
48,0,high school diploma or equivalent
27,23000,bachelor's degree
46,92000,master's degree
33,15000,doctorate degree
23,1200,bachelor's degree
41,40000,high school diploma or equivalent
37,0,bachelor's degree
36,27866,bachelor's degree
26,30000,bachelor's degree
23,21216,some college but no degree
32,85000,bachelor's degree
45,30000,"associate's degree, academic program"
50,50000,"associate's degree, academic program"
35,145000,bachelor's degree
32,58000,some college but no degree
32,27000,master's degree
34,30000,master's degree
48,98000,bachelor's degree
25,37000,bachelor's degree
39,58000,high school diploma or equivalent
22,48800,some college but no degree
38,53000,bachelor's degree
35,39500,high school diploma or equivalent
41,62500,"associate's degree, occupational/vocational program"
36,35000,"associate's degree, academic program"
37,45000,some college but no degree
41,32000,high school diploma or equivalent
27,50000,bachelor's degree
45,100000,bachelor's degree
38,36000,some college but no degree
41,24128,high school diploma or equivalent
50,50000,high school diploma or equivalent
34,0,some college but no degree
35,44000,"associate's degree, academic program"
34,29000,high school diploma or equivalent
42,63000,some college but no degree
24,28500,bachelor's degree
22,4600,some college but no degree
21,9346,some college but no degree
45,0,high school diploma or equivalent
47,0,high school diploma or equivalent
30,12480,some college but no degree
24,11520,some college but no degree
34,15100,high school diploma or equivalent
21,39500,high school diploma or equivalent
48,56000,bachelor's degree
41,60000,doctorate degree
22,0,bachelor's degree
20,27300,some college but no degree
46,34000,high school diploma or equivalent
28,80000,bachelor's degree
32,35000,bachelor's degree
31,240,bachelor's degree
30,40000,bachelor's degree
43,16000,high school diploma or equivalent
32,9120,"12th grade, no diploma"
28,29000,high school diploma or equivalent
28,25000,high school diploma or equivalent
48,60000,professional school degree
20,6124,some college but no degree
20,2600,high school diploma or equivalent
48,45000,"associate's degree, academic program"
32,28000,high school diploma or equivalent
26,51000,bachelor's degree
28,50000,"associate's degree, academic program"
50,4476,grades 7 or 8
30,32032,high school diploma or equivalent
39,90000,bachelor's degree
26,95000,professional school degree
21,4200,some college but no degree
34,31064,bachelor's degree
46,28000,bachelor's degree
41,24000,high school diploma or equivalent
44,14000,high school diploma or equivalent
46,25000,high school diploma or equivalent
43,24000,grade 11
20,5500,high school diploma or equivalent
25,7500,high school diploma or equivalent
31,12000,some college but no degree
41,34000,high school diploma or equivalent
50,33000,high school diploma or equivalent
44,14400,grade 10
39,25000,bachelor's degree
50,5000,grades 7 or 8
41,14000,high school diploma or equivalent
40,19000,"associate's degree, occupational/vocational program"
42,36000,high school diploma or equivalent
47,750,high school diploma or equivalent
29,0,high school diploma or equivalent
34,80000,bachelor's degree
38,20000,high school diploma or equivalent
37,21500,high school diploma or equivalent
50,18923,high school diploma or equivalent
26,11800,some college but no degree
26,26000,bachelor's degree
50,25000,high school diploma or equivalent
27,18000,high school diploma or equivalent
45,30000,bachelor's degree
41,41000,high school diploma or equivalent
25,27000,bachelor's degree
23,5535,bachelor's degree
24,13000,bachelor's degree
36,32464,"12th grade, no diploma"
28,22405,high school diploma or equivalent
46,0,grade 11
23,13644,high school diploma or equivalent
37,3380,high school diploma or equivalent
33,0,professional school degree
38,2500,grade 9
49,22289,high school diploma or equivalent
25,14000,some college but no degree
30,45000,grades 7 or 8
35,36432,high school diploma or equivalent
35,29000,high school diploma or equivalent
39,17000,high school diploma or equivalent
37,38000,grade 9
28,20000,master's degree
32,28000,high school diploma or equivalent
39,34000,high school diploma or equivalent
21,3800,high school diploma or equivalent
42,28000,high school diploma or equivalent
22,5986,some college but no degree
48,33000,some college but no degree
28,20000,some college but no degree
36,21774,grade 11
43,26500,high school diploma or equivalent
48,50000,some college but no degree
43,0,master's degree
44,16500,high school diploma or equivalent
34,19000,high school diploma or equivalent
40,34000,high school diploma or equivalent
44,40000,high school diploma or equivalent
45,12000,high school diploma or equivalent
43,0,grade 10
25,17000,bachelor's degree
30,28000,some college but no degree
35,24000,"associate's degree, academic program"
35,30000,high school diploma or equivalent
26,19760,grade 11
48,48730,high school diploma or equivalent
41,18400,high school diploma or equivalent
38,40000,some college but no degree
27,26000,high school diploma or equivalent
49,27000,high school diploma or equivalent
38,42000,bachelor's degree
45,2160,high school diploma or equivalent
48,0,grade 10
41,14900,high school diploma or equivalent
34,37000,bachelor's degree
36,42000,high school diploma or equivalent
46,44500,"associate's degree, occupational/vocational program"
40,24000,high school diploma or equivalent
29,25000,high school diploma or equivalent
28,25000,grade 9
45,18000,grade 9
27,20000,high school diploma or equivalent
45,4692,master's degree
33,39600,high school diploma or equivalent
26,18100,"associate's degree, occupational/vocational program"
49,0,some college but no degree
37,27000,high school diploma or equivalent
44,18000,"associate's degree, academic program"
49,0,grades 7 or 8
28,9000,grade 10
25,38000,high school diploma or equivalent
37,30000,high school diploma or equivalent
46,0,bachelor's degree
48,26000,high school diploma or equivalent
30,26000,grade 9
42,22500,high school diploma or equivalent
40,11440,high school diploma or equivalent
46,31900,bachelor's degree
21,0,high school diploma or equivalent
48,90000,professional school degree
50,8000,"associate's degree, academic program"
34,16000,high school diploma or equivalent
22,16000,some college but no degree
29,16000,high school diploma or equivalent
32,30000,"associate's degree, occupational/vocational program"
50,0,some college but no degree
44,15690,some college but no degree
49,44000,high school diploma or equivalent
43,14700,some college but no degree
20,7000,some college but no degree
20,18000,high school diploma or equivalent
48,30000,"associate's degree, occupational/vocational program"
21,5465,high school diploma or equivalent
32,15000,high school diploma or equivalent
49,39000,some college but no degree
46,103000,master's degree
36,27000,high school diploma or equivalent
37,30000,high school diploma or equivalent
41,0,bachelor's degree
48,10000,high school diploma or equivalent
47,82000,"associate's degree, occupational/vocational program"
40,0,"associate's degree, occupational/vocational program"
42,50000,high school diploma or equivalent
49,0,some college but no degree
42,68000,bachelor's degree
40,0,bachelor's degree
29,29000,high school diploma or equivalent
31,25000,high school diploma or equivalent
40,19000,bachelor's degree
43,0,high school diploma or equivalent
32,29400,"associate's degree, academic program"
47,0,bachelor's degree
33,28800,high school diploma or equivalent
30,27500,bachelor's degree
41,12270,high school diploma or equivalent
36,35000,high school diploma or equivalent
48,45000,"associate's degree, academic program"
39,39244,bachelor's degree
49,30000,bachelor's degree
46,36000,bachelor's degree
20,5000,some college but no degree
29,0,grade 10
47,12000,bachelor's degree
49,66000,some college but no degree
46,0,high school diploma or equivalent
38,28000,"associate's degree, academic program"
30,28000,high school diploma or equivalent
47,42000,master's degree
35,25000,high school diploma or equivalent
47,44120,bachelor's degree
29,17000,doctorate degree
32,20000,master's degree
21,0,bachelor's degree
20,5200,high school diploma or equivalent
32,0,high school diploma or equivalent
29,24000,bachelor's degree
48,28000,master's degree
31,19000,some college but no degree
40,53808,high school diploma or equivalent
35,0,high school diploma or equivalent
43,25150,master's degree
48,0,some college but no degree
26,20500,high school diploma or equivalent
24,4500,some college but no degree
41,65000,bachelor's degree
50,34000,some college but no degree
47,24000,some college but no degree
41,84000,high school diploma or equivalent
29,21000,high school diploma or equivalent
48,36400,high school diploma or equivalent
48,8000,high school diploma or equivalent
44,229339,"associate's degree, academic program"
20,2640,some college but no degree
21,13000,grade 10
37,45000,high school diploma or equivalent
29,30000,grade 10
34,21000,"associate's degree, occupational/vocational program"
34,20000,high school diploma or equivalent
36,0,grade 11
34,0,high school diploma or equivalent
29,32000,bachelor's degree
42,42000,high school diploma or equivalent
31,12000,some college but no degree
37,21000,"associate's degree, occupational/vocational program"
25,37000,high school diploma or equivalent
48,28000,high school diploma or equivalent
39,0,grade 11
43,10400,grade 10
40,0,grade 10
33,17800,grade 11
49,100000,bachelor's degree
36,11000,grade 9
35,30000,high school diploma or equivalent
36,0,high school diploma or equivalent
48,7280,high school diploma or equivalent
26,0,high school diploma or equivalent
47,0,high school diploma or equivalent
45,60002,doctorate degree
43,17316,grades 7 or 8
48,74000,high school diploma or equivalent
44,0,grades 7 or 8
26,37000,high school diploma or equivalent
29,47000,bachelor's degree
28,45000,bachelor's degree
24,0,some college but no degree
27,0,some college but no degree
48,19641,high school diploma or equivalent
40,32000,"associate's degree, academic program"
26,24500,bachelor's degree
36,38000,high school diploma or equivalent
48,0,professional school degree
21,14000,some college but no degree
47,20000,high school diploma or equivalent
46,23000,bachelor's degree
28,25000,some college but no degree
35,0,bachelor's degree
28,30000,some college but no degree
23,13000,some college but no degree
30,25000,bachelor's degree
29,25000,master's degree
24,0,grade 10
47,0,bachelor's degree
21,0,some college but no degree
38,3085,high school diploma or equivalent
21,12251,high school diploma or equivalent
48,8700,grades 7 or 8
36,90000,master's degree
27,16000,bachelor's degree
50,30000,"associate's degree, academic program"
28,0,bachelor's degree
50,20000,master's degree
32,43500,high school diploma or equivalent
40,35000,bachelor's degree
45,0,high school diploma or equivalent
47,20800,bachelor's degree
23,28000,high school diploma or equivalent
38,70000,master's degree
31,0,bachelor's degree
20,19000,high school diploma or equivalent
47,45000,master's degree
28,35000,"associate's degree, academic program"
32,40000,bachelor's degree
40,45000,some college but no degree
26,25000,"associate's degree, occupational/vocational program"
42,42400,high school diploma or equivalent
43,32000,bachelor's degree
30,23000,some college but no degree
38,35000,high school diploma or equivalent
42,60000,high school diploma or equivalent
30,20000,grades 7 or 8
48,229339,some college but no degree
35,110000,"associate's degree, occupational/vocational program"
41,60000,master's degree
45,28000,high school diploma or equivalent
34,26000,master's degree
23,0,some college but no degree
29,6000,grades 7 or 8
40,46450,some college but no degree
24,11000,bachelor's degree
43,48000,bachelor's degree
24,40529,bachelor's degree
29,20000,high school diploma or equivalent
31,0,bachelor's degree
33,31000,bachelor's degree
47,40000,high school diploma or equivalent
49,105000,master's degree
39,40000,high school diploma or equivalent
26,60000,"associate's degree, occupational/vocational program"
43,12000,high school diploma or equivalent
43,144000,professional school degree
23,16000,"12th grade, no diploma"
25,15000,some college but no degree
36,100000,some college but no degree
40,229339,professional school degree
49,30000,high school diploma or equivalent
44,21840,some college but no degree
21,4500,some college but no degree
35,4500,bachelor's degree
40,0,professional school degree
37,52000,bachelor's degree
39,27000,some college but no degree
48,45000,bachelor's degree
43,24000,grades 5 or 6
20,6000,high school diploma or equivalent
34,28800,high school diploma or equivalent
30,41000,"associate's degree, occupational/vocational program"
28,38000,"associate's degree, academic program"
27,78000,bachelor's degree
28,52320,high school diploma or equivalent
25,65000,bachelor's degree
24,32000,high school diploma or equivalent
21,500,some college but no degree
49,11440,grade 11
24,12000,grade 11
21,3000,some college but no degree
21,48800,high school diploma or equivalent
42,49780,some college but no degree
41,0,bachelor's degree
45,37000,high school diploma or equivalent
24,0,grade 10
46,24000,high school diploma or equivalent
29,13640,high school diploma or equivalent
40,28000,high school diploma or equivalent
48,40000,some college but no degree
21,18000,some college but no degree
32,12000,some college but no degree
41,27000,bachelor's degree
39,39000,high school diploma or equivalent
45,62400,"associate's degree, academic program"
42,36000,high school diploma or equivalent
34,1500,high school diploma or equivalent
36,14000,high school diploma or equivalent
41,40000,"associate's degree, occupational/vocational program"
41,0,high school diploma or equivalent
48,52286,bachelor's degree
49,28000,bachelor's degree
41,60002,master's degree
23,0,some college but no degree
23,28002,high school diploma or equivalent
33,229339,bachelor's degree
45,0,high school diploma or equivalent
42,85000,bachelor's degree
25,25000,some college but no degree
28,14664,high school diploma or equivalent
21,16000,high school diploma or equivalent
37,58000,bachelor's degree
34,0,master's degree
22,1700,some college but no degree
21,7000,some college but no degree
28,22500,bachelor's degree
38,46800,master's degree
36,26000,high school diploma or equivalent
40,32600,high school diploma or equivalent
50,66000,bachelor's degree
21,4320,high school diploma or equivalent
45,60000,some college but no degree
31,13000,high school diploma or equivalent
32,89037,"associate's degree, academic program"
38,12000,some college but no degree
35,31200,high school diploma or equivalent
43,75000,master's degree
32,55000,some college but no degree
20,0,high school diploma or equivalent
21,1000,some college but no degree
42,45000,high school diploma or equivalent
40,20350,high school diploma or equivalent
23,13000,high school diploma or equivalent
